sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
3284988,8,8,0,0,0,0,1,3,4,10,1,No,0,0.99,0.98,0,Yes,No,No,Yes,No,No
3284990,7,8,0,9,20,31,1,7,16,27,3,No,0,0.97,0.93,0,No,No,No,Yes,No,No
3285036,76,8,8,24,64,88,11,34,91,137,25,No,0,1,0.99,0,No,No,No,Yes,No,No
3285128,16,8,0,12,12,24,1,8,19,27,0,No,0,0.98,0.98,0,No,No,No,Yes,No,No
3285175,0,8,0,8,18,22,2,5,15,17,0,No,0,0.87,0.8,0,No,No,No,Yes,No,No
3285269,24,8,0,0,0,10,1,11,22,34,0,No,0,0.79,0.86,0,No,No,No,Yes,No,No
3285270,27,8,0,0,0,18,0,5,15,30,0,No,0,0.86,0.77,0,No,No,No,Yes,No,No
3285271,5,12,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3285358,17,8,0,0,0,0,0,0,0,0,0,No,0,0.92,0.95,0,No,No,No,Yes,No,No
3285414,99,8,0,0,0,0,1,1,1,1,0,No,0,0.97,0.96,0,No,No,No,Yes,No,No
3285415,74,2,21,20,20,20,9,32,48,50,20,No,0,0.97,0.96,0,No,No,No,Yes,No,No
3285517,9,2,0,0,0,0,0,0,0,2,0,No,0,0.78,0.75,0,No,No,Yes,Yes,No,No
3285608,2,8,0,0,0,0,0,0,0,0,0,No,0,0.54,0.71,0,No,No,No,Yes,No,No
3285704,0,2,0,14,14,14,0,0,0,0,0,No,0,0.54,0.61,0,Yes,No,No,Yes,No,No
3285751,7,8,0,0,0,0,0,0,0,1,0,No,0,0.71,0.51,0,No,No,Yes,Yes,No,No
3285753,49,8,0,20,20,20,0,3,4,4,0,No,0,0.5,0.52,0,Yes,No,No,No,No,No
3285960,15,2,0,0,0,0,0,0,1,2,0,No,0,0.37,0.68,0,No,No,No,Yes,No,No
3286036,6,52,0,0,0,0,0,0,0,0,1,No,0,0.99,0.94,0,Yes,No,No,No,No,No
3286130,480,2,0,0,0,0,0,0,0,0,0,No,0,0.68,0.75,0,No,No,No,Yes,No,No
3286131,7,2,0,0,0,2,0,2,4,5,0,No,0,0.84,0.82,0,No,No,No,Yes,No,No
3286132,21,8,0,0,0,0,0,3,5,8,0,No,0,0.78,0.75,0,No,No,No,Yes,No,No
3286177,4,12,0,0,0,1,1,1,2,2,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
3286320,294,2,0,0,0,0,1,4,6,10,0,No,0,0.83,0.85,0,No,No,No,Yes,No,No
3286321,1,12,0,2,3,5,0,2,3,4,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
3286322,12,2,0,0,0,0,0,0,0,0,0,No,0,1,0.33,0,Yes,No,No,Yes,No,No
3286323,62,8,0,0,0,0,1,4,13,19,0,No,0,0.9,0.95,0,No,No,No,Yes,No,No
3286369,208,4,0,0,0,0,0,0,0,0,2,No,0,0.63,0.76,0,Yes,No,No,Yes,No,No
3286559,10,2,0,0,0,0,0,0,0,0,0,No,0,0.94,0.96,0,No,No,No,Yes,No,No
3286560,0,2,0,4,7,7,0,0,0,0,0,No,0,0.7,0.73,0,No,No,No,Yes,No,Yes
3286561,5,4,0,0,0,0,0,0,1,1,0,No,0,0.7,0.66,0,Yes,No,No,Yes,No,No
3286658,7,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3286753,22,9,0,0,0,0,1,2,5,10,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3286754,10,8,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,Yes,Yes,No,No
3286755,7,9,0,0,0,0,0,0,2,6,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3286798,80,8,0,0,0,20,10,10,20,84,2,No,0,1,1,0,No,No,No,Yes,No,No
3286843,317,2,206,945,1822,2778,345,1372,2085,2765,315,No,0,0.99,0.98,0,No,No,No,Yes,No,No
3286890,61,8,1,36,72,108,9,27,58,97,19,No,0,1,1,0,No,No,No,Yes,No,No
3286987,2,12,0,12,28,36,5,17,31,49,2,No,0,1,1,0,No,No,No,Yes,No,No
3286988,53,8,28,103,181,276,16,108,223,330,35,No,0,0.98,0.97,0,No,No,No,Yes,No,No
3287033,17,8,0,6,12,18,2,10,20,31,7,No,0,0.5,0.46,0,No,No,No,Yes,No,No
